age,wc,edu,ms,occ,rel,race,sex,hpw,waob,incc
44,1,21,3,25,1,5,2,26,1,1
37,1,16,3,18,1,5,2,40,1,1
12,2,21,1,18,1,5,1,50,1,1
16,1,22,1,3,2,5,1,40,1,2
7,1,20,5,20,14,4,2,32,1,1
21,1,21,1,23,1,5,1,45,1,2
22,1,10,1,5,1,4,1,40,3,2
42,4,21,1,1,1,5,1,40,1,1
27,1,19,1,22,2,5,1,55,1,2
43,7,21,1,16,1,5,1,50,1,2
55,1,16,2,11,1,5,1,49,1,1
17,1,19,5,18,1,3,1,48,1,1
12,1,19,1,13,1,5,2,24,1,1
32,1,21,3,16,1,5,1,40,1,2
29,5,19,3,25,3,3,2,40,1,2
25,1,16,5,18,3,5,1,40,1,1
29,7,21,1,23,2,5,2,30,1,1
30,2,19,1,6,2,5,2,40,1,1
16,2,20,4,15,1,2,2,36,4,2
14,1,21,1,8,2,2,2,20,4,1
22,1,19,3,6,1,5,1,25,1,1
42,2,22,1,7,2,5,1,40,1,1
36,1,13,3,23,1,5,2,39,1,1
9,1,22,5,4,14,5,2,45,1,1
8,1,22,1,16,1,5,2,50,1,2
14,1,7,1,5,1,2,1,30,4,1
44,1,22,1,23,1,5,2,20,1,1
39,1,16,5,19,18,5,2,20,1,1
31,3,19,1,2,1,5,1,40,1,1
14,1,19,1,18,2,5,2,40,1,1
42,2,22,1,7,2,5,1,40,1,2
27,1,16,1,12,2,5,2,35,1,2
18,5,22,1,25,2,2,1,50,1,2
21,1,20,5,6,12,5,1,33,1,1
40,1,16,1,19,1,5,1,48,1,2
36,2,16,1,18,2,5,2,38,1,1
18,7,22,1,16,1,5,2,10,1,1
47,1,19,1,20,1,3,2,37,1,2
51,1,16,1,18,2,5,2,20,1,1
12,1,20,5,3,3,5,1,69,1,1
48,3,22,1,7,2,5,2,65,1,1
23,7,16,1,23,1,5,1,43,1,1
3,1,9,1,6,1,5,2,60,3,1
21,7,21,1,3,2,2,1,40,1,2
47,1,19,1,16,2,5,1,40,1,1
6,1,16,5,6,1,5,1,40,1,1
23,1,15,3,23,1,5,2,40,3,1
16,2,22,5,9,14,5,2,45,1,2
16,5,24,1,3,2,2,1,50,4,2
9,1,19,1,6,2,5,2,30,1,1
5,1,19,1,6,2,5,2,30,1,1
38,1,16,5,23,1,5,1,40,4,1
28,3,21,3,21,1,5,1,45,1,2
43,1,16,5,2,6,5,1,2,1,1
17,7,23,1,14,2,4,1,40,3,2
33,3,21,3,7,1,5,2,55,1,2
21,1,22,1,12,2,3,2,40,1,2
17,1,21,1,12,2,5,1,60,1,2
15,3,16,3,23,1,5,1,40,1,2
50,4,19,1,13,1,5,2,40,1,1
22,3,14,2,20,1,5,2,40,3,1
20,1,19,1,16,2,3,1,55,1,2
18,1,20,5,20,1,5,2,40,1,2
8,1,20,5,12,3,5,2,12,1,1
1,1,14,5,18,3,5,2,4,1,1
7,1,16,5,19,1,5,1,50,1,2
7,2,20,5,9,1,5,1,10,1,1
36,1,16,1,18,1,5,1,40,1,1
39,1,16,1,18,2,5,2,40,1,1
48,7,21,3,23,1,5,1,30,4,1
24,1,14,1,6,1,5,2,20,1,1
63,7,24,1,15,2,5,1,40,1,2
15,1,21,1,8,2,5,2,40,1,2
12,3,21,1,7,1,5,1,55,1,1
10,4,16,5,2,1,1,2,40,3,1
6,1,21,5,16,3,3,2,40,1,1
8,1,19,5,19,11,2,1,40,4,1
5,4,20,5,6,3,5,2,37,1,1
23,1,20,1,18,2,5,2,36,1,1
45,3,22,1,7,2,5,1,40,5,2
36,1,19,1,18,1,5,2,40,1,1
9,2,21,5,7,14,5,1,40,1,1
29,2,16,1,13,2,5,2,40,1,1
35,1,16,1,13,1,5,2,50,1,1
26,1,21,3,18,1,5,2,40,1,2
45,1,17,1,16,2,5,1,44,1,2
14,3,21,5,18,3,4,2,40,5,1
8,1,12,5,23,1,5,2,30,1,1
8,1,19,5,23,3,5,2,20,1,1
12,1,13,1,2,2,5,1,40,1,1
32,1,23,1,19,11,4,1,40,3,1
34,2,19,1,19,1,5,2,40,1,1
20,1,16,1,19,1,5,2,35,1,1
13,1,17,5,19,16,5,1,60,1,2
21,1,19,1,8,10,5,1,40,1,2
8,1,21,1,8,1,5,2,40,1,2
16,1,21,1,12,2,5,1,45,5,2
2,1,18,5,18,3,5,1,35,1,1
24,1,16,1,5,2,5,1,40,3,1
30,3,12,1,2,1,4,1,40,3,1
26,1,14,1,5,1,5,1,35,3,1
40,1,16,1,6,2,5,2,16,1,1
13,1,18,1,1,5,5,2,50,1,2
24,3,16,1,18,2,5,2,40,1,1
43,2,16,1,7,1,5,1,30,1,1
52,2,19,1,4,1,3,2,30,1,2
6,1,16,5,13,3,5,2,40,1,1
46,1,20,1,1,2,5,2,12,1,1
21,1,24,1,16,2,5,1,60,1,2
6,1,19,5,6,5,4,1,20,1,1
6,1,21,5,9,14,5,1,20,1,1
37,1,22,1,3,1,5,1,50,1,2
43,1,16,3,18,1,5,2,40,1,1
39,1,22,1,3,1,5,1,50,1,2
36,1,18,1,15,1,5,2,36,1,1
48,1,16,5,15,1,5,2,40,1,1
8,1,21,5,9,1,5,2,42,1,1
31,5,16,4,21,18,3,1,40,3,1
32,3,13,1,25,2,5,2,40,1,1
35,3,19,3,18,1,5,2,40,1,1
51,1,16,1,23,1,5,1,45,1,2
27,1,19,2,18,1,5,2,40,1,2
46,3,22,1,7,2,5,2,40,1,2
11,1,21,5,18,3,2,2,45,4,1
5,1,19,1,7,1,2,1,10,4,1
34,5,15,1,22,1,4,1,40,3,2
9,2,19,5,18,3,5,1,15,1,1
55,1,18,3,23,1,5,1,24,1,1
23,3,21,1,16,2,5,1,40,1,2
26,1,17,1,22,1,5,1,40,3,1
35,5,21,5,18,1,5,2,40,1,2
4,1,18,5,15,18,5,2,40,1,1
64,3,22,1,18,1,5,1,50,1,1
39,1,10,1,25,1,4,1,65,3,1
32,2,22,1,4,1,5,1,30,1,1
6,5,20,4,3,14,5,1,45,1,2
17,1,16,1,25,1,3,1,48,1,1
25,1,21,1,16,2,5,1,40,1,2
37,1,9,3,19,12,4,1,40,3,1
45,2,16,1,5,2,5,1,40,1,2
34,1,22,1,23,2,5,2,40,1,1
8,1,16,1,20,2,5,2,40,1,1
42,2,18,2,1,1,5,2,35,1,1
25,1,18,2,23,1,5,2,40,1,1
4,2,19,5,7,13,5,1,20,1,1
2,5,16,5,17,18,5,1,40,1,1
33,3,20,1,18,1,5,2,35,1,1
12,1,11,1,19,1,5,1,50,1,1
25,1,19,1,19,1,5,1,58,1,2
20,1,19,5,25,3,5,1,20,1,1
22,2,18,1,18,1,3,2,40,1,1
46,1,20,3,12,1,5,2,40,1,1
29,1,16,1,7,2,5,2,40,1,1
21,1,16,1,23,1,5,2,40,1,1
15,1,13,5,5,1,5,1,48,1,1
15,1,16,5,18,3,5,1,32,1,1
18,1,21,5,12,3,2,1,40,4,1
11,1,19,5,18,1,3,1,48,1,1
39,4,12,3,5,1,4,1,40,1,2
17,1,20,1,16,2,5,1,60,1,2
23,1,21,5,23,1,3,2,16,1,1
26,1,19,1,19,2,5,1,40,1,1
30,4,18,1,13,2,5,2,20,1,1
30,1,19,1,16,2,3,1,40,1,2
33,1,21,4,23,1,5,2,55,1,1
43,3,17,1,7,1,5,2,30,3,1
55,7,21,1,23,1,5,1,60,1,2
36,5,22,1,12,2,2,2,40,4,2
39,5,16,1,18,2,5,2,40,1,2
9,1,20,1,23,2,5,2,47,1,1
16,1,21,1,18,2,3,1,40,6,1
23,1,16,5,18,3,5,2,40,1,1
18,1,18,1,6,1,5,2,9,1,1
61,1,19,3,20,1,5,2,50,1,1
29,2,21,1,3,2,5,1,40,1,2
11,1,20,1,16,1,5,1,40,1,1
44,1,20,1,16,1,3,1,50,1,2
45,1,21,1,3,2,4,2,40,1,2
38,5,17,4,18,11,5,2,35,1,1
19,1,21,1,18,1,2,1,50,1,2
15,1,19,5,22,1,5,1,40,1,1
36,7,21,1,16,1,5,1,50,1,2
34,1,20,3,25,1,3,1,40,1,1
43,2,16,1,6,1,5,1,60,5,1
57,6,23,1,14,2,5,1,20,1,2
38,1,19,1,5,1,5,1,60,1,2
8,1,1,1,20,10,5,1,20,3,1
20,1,14,3,5,1,4,2,32,3,1
45,1,18,1,19,2,5,1,40,1,1
31,3,23,5,7,1,3,2,40,1,2
48,2,18,3,18,14,5,2,40,1,1
48,1,22,1,16,2,5,1,45,1,2
16,1,17,5,23,1,1,1,35,1,1
39,3,22,1,7,2,5,2,20,1,1
5,1,19,5,6,1,5,2,20,1,1
13,3,21,1,7,2,5,2,40,1,1
3,2,18,5,20,18,5,2,20,1,1
22,1,21,4,23,1,5,2,14,3,1
6,1,19,5,20,18,5,2,20,1,1
36,1,16,1,13,2,5,2,40,1,1
4,1,20,5,18,3,5,2,15,1,1
21,1,20,3,18,1,2,2,40,4,1
55,1,16,1,13,2,5,2,22,1,1
37,5,20,1,7,2,4,1,40,1,1
15,1,16,1,19,2,2,2,40,4,1
31,1,19,5,16,1,5,2,40,3,1
33,1,14,5,5,1,5,1,40,1,1
42,1,21,1,25,1,5,1,51,1,2
37,1,21,1,23,1,5,1,40,3,2
38,1,19,1,16,7,5,1,40,3,2
14,1,22,1,16,2,5,1,40,1,2
44,1,22,1,7,2,3,2,15,1,1
22,1,22,1,4,1,5,1,45,1,1
36,1,16,1,18,2,5,2,35,5,1
34,1,16,1,16,1,5,1,60,1,2
8,1,16,1,18,2,5,2,30,1,1
43,1,16,1,16,2,5,1,60,1,2
31,1,16,5,2,1,5,1,40,1,1
10,1,13,5,19,17,3,1,40,1,1
28,2,21,1,16,2,5,2,40,1,1
5,7,20,5,16,3,5,2,40,1,1
35,3,16,1,16,1,1,1,40,1,2
12,3,21,1,7,2,5,2,45,1,1
11,1,20,5,23,14,5,2,27,1,1
29,3,16,1,22,1,5,1,40,1,2
33,2,1,5,4,18,5,1,50,1,1
28,8,21,1,23,1,2,2,20,4,1
11,1,16,1,19,1,5,1,40,1,1
43,1,21,1,9,1,5,1,35,1,2
40,2,23,1,15,2,5,1,40,1,2
12,1,16,3,6,3,5,1,40,1,1
26,7,21,5,23,1,5,1,40,1,1
51,1,19,1,23,1,5,1,40,1,2
36,3,21,3,16,1,5,1,40,1,2
12,1,20,1,15,3,5,2,40,1,2
41,4,16,1,18,2,5,2,40,1,2
2,1,18,5,23,3,4,1,20,1,1
51,2,21,1,7,2,5,2,17,1,1
42,1,18,1,18,1,5,2,40,1,1
32,3,18,1,21,1,3,1,40,1,2
4,1,16,5,23,3,5,2,12,1,1
38,1,18,3,5,1,5,1,40,1,1
27,4,20,1,21,1,5,1,60,1,2
12,1,16,5,25,3,5,1,70,1,1
27,1,19,1,18,1,5,2,40,1,1
19,4,24,1,7,1,5,1,50,1,2
15,1,19,5,8,1,5,2,40,1,2
3,1,16,5,23,18,5,2,35,1,1
31,1,21,1,16,2,5,1,60,1,2
8,1,16,5,20,18,2,2,40,4,1
8,1,20,5,15,5,5,2,40,1,1
19,1,19,1,1,2,5,2,35,1,1
32,1,16,1,22,1,5,1,48,1,1
26,1,23,3,23,3,5,2,43,1,2
50,1,5,1,11,2,5,2,10,2,1
9,3,18,5,18,1,1,2,40,1,2
26,1,21,5,23,1,5,1,35,1,1
13,1,16,1,20,2,5,2,25,1,1
50,3,16,1,2,1,5,1,24,1,1
15,3,18,3,18,1,5,1,40,2,1
57,2,16,1,18,2,5,2,28,1,1
4,1,19,5,25,18,5,1,25,1,1
6,1,21,5,13,3,5,2,40,1,1
9,2,21,5,7,16,5,2,40,1,1
6,1,21,5,4,12,5,1,4,1,1
9,1,21,5,8,3,5,1,12,1,1
42,1,19,1,5,2,5,1,40,1,1
16,1,21,1,16,2,5,1,50,1,2
28,1,19,1,23,1,5,1,50,1,1
11,1,21,1,4,1,5,2,32,7,1
25,1,16,5,19,6,2,1,40,4,1
4,1,19,5,18,3,5,1,40,1,1
2,1,14,5,5,14,4,1,35,3,1
9,1,17,1,25,10,5,1,25,1,1
3,1,16,5,19,5,5,1,40,1,1
34,1,16,1,25,2,2,1,50,1,2
28,4,22,3,7,1,5,2,40,1,2
19,1,21,5,16,1,3,2,45,1,2
1,1,14,5,23,3,5,2,23,1,1
4,1,16,5,5,16,5,1,40,1,1
34,6,16,1,2,1,5,1,35,1,1
37,7,21,1,12,1,5,1,50,1,2
10,1,21,5,16,3,5,1,40,1,1
62,2,20,1,2,1,5,1,30,1,1
52,3,21,1,14,2,5,1,30,1,2
2,1,15,5,6,3,5,1,39,1,1
40,1,13,1,23,1,5,2,40,1,1
18,1,16,1,25,2,5,1,40,1,1
31,1,22,1,7,2,5,1,50,1,2
18,1,19,3,18,3,5,2,40,1,1
9,2,22,5,15,1,5,2,36,1,2
2,1,19,5,23,3,4,2,30,1,1
44,2,22,1,16,1,5,2,50,1,2
8,5,21,5,4,14,5,1,25,6,1
30,1,21,1,16,1,5,1,50,5,2
43,1,22,1,24,2,2,1,40,1,2
40,1,16,1,18,1,5,2,40,1,1
10,1,19,5,22,1,5,1,40,1,1
23,1,17,3,19,3,4,1,40,1,1
19,1,14,4,6,1,3,2,40,1,1
33,1,16,1,22,1,5,1,40,1,1
37,1,17,3,16,1,5,2,32,1,1
43,1,22,5,16,1,5,2,50,1,2
27,1,16,4,20,16,5,2,35,5,1
2,2,16,5,4,18,5,2,9,1,1
31,7,16,1,23,2,5,2,50,1,1
4,1,19,5,16,3,5,2,40,1,1
45,3,20,1,18,2,5,1,40,1,2
44,6,19,1,13,2,5,2,45,1,1
10,2,22,5,4,1,5,1,50,1,1
8,1,9,5,22,1,4,1,40,3,1
53,1,16,1,5,1,5,1,60,1,2
2,1,11,5,5,3,4,1,72,1,1
27,1,16,5,2,1,3,1,4,1,1
47,2,22,3,16,1,5,2,50,1,2
31,1,16,1,21,2,5,1,40,3,1
31,4,20,1,7,1,5,2,37,1,1
52,1,16,1,25,1,5,1,38,1,1
3,3,16,5,21,5,5,1,20,1,1
41,4,22,3,7,1,3,2,40,1,1
8,2,19,5,2,18,5,1,40,1,1
27,1,17,1,1,17,3,2,40,1,1
38,1,23,3,18,1,5,2,45,1,1
42,4,19,1,7,2,5,2,40,1,2
48,1,19,1,18,2,5,2,20,1,1
39,4,21,3,16,1,5,2,45,1,2
14,1,21,1,23,2,5,1,45,1,1
31,7,21,4,12,1,3,1,40,1,2
2,1,16,5,22,3,5,1,20,1,1
29,1,16,5,19,14,5,1,40,3,1
2,1,18,5,2,3,5,1,18,1,1
15,1,21,1,23,2,5,1,40,1,2
37,7,21,3,23,1,5,2,60,1,2
44,1,17,1,19,1,5,1,40,1,1
34,1,22,3,12,1,5,2,40,1,2
18,4,16,1,7,2,4,2,40,1,1
13,1,19,1,14,2,5,1,40,1,1
12,1,16,1,22,2,5,1,70,1,1
8,2,21,5,3,3,5,1,40,1,1
25,7,19,1,18,2,5,2,32,1,1
19,1,20,1,18,1,5,1,39,1,1
55,1,17,1,19,2,3,1,40,1,1
46,1,16,1,5,1,5,1,40,1,2
9,1,16,5,22,3,5,1,40,1,1
39,4,16,2,25,1,5,1,37,1,1
13,1,12,1,19,1,5,1,40,1,2
33,1,19,1,23,1,5,2,40,1,2
40,1,22,3,3,1,5,1,40,1,2
33,1,20,1,23,1,5,1,45,1,2
40,1,16,1,2,3,5,2,40,1,1
36,1,16,5,13,1,5,2,40,1,1
36,2,20,1,22,2,5,1,40,1,1
28,1,16,1,18,1,5,2,40,1,1
11,1,16,5,11,1,3,1,40,1,1
42,1,1,1,23,2,2,2,48,4,1
32,1,21,1,23,1,5,1,50,6,2
27,1,16,5,4,1,5,2,40,1,1
5,1,19,5,18,5,5,2,12,1,1
46,1,16,1,16,1,5,1,45,1,2
51,1,21,1,21,2,5,1,1,1,1
5,1,20,5,21,18,5,2,22,1,1
13,1,22,1,3,2,4,2,45,2,2
25,4,21,1,1,1,5,1,40,1,2
9,7,22,5,7,1,5,1,40,1,1
22,1,22,5,9,1,5,2,60,1,2
15,2,8,3,4,1,4,2,40,1,1
37,1,16,1,19,1,4,2,40,1,2
8,1,20,5,23,1,3,2,20,1,1
48,1,18,3,6,1,3,2,16,1,1
39,2,24,1,4,1,5,1,50,1,2
17,1,15,5,19,1,3,2,30,1,1
10,3,21,1,7,2,4,2,40,1,1
4,1,19,5,23,18,5,2,30,1,1
4,1,19,5,18,4,5,1,50,1,1
27,1,1,1,16,2,5,2,20,1,1
18,1,21,5,18,1,3,1,40,1,1
33,7,21,1,8,1,5,1,60,1,2
27,1,21,1,9,2,5,2,50,1,2
29,1,21,1,12,2,5,2,40,1,2
22,1,21,1,4,1,5,2,50,3,2
53,1,14,2,18,1,5,2,40,1,1
17,1,19,1,18,2,5,2,40,1,1
36,7,21,3,12,1,5,2,6,1,1
23,1,21,1,3,1,2,1,40,4,2
17,1,16,1,25,1,5,1,40,1,1
42,2,18,2,13,1,5,2,36,1,1
48,1,21,1,18,1,5,1,40,1,1
7,1,21,5,6,1,5,2,40,1,1
48,5,1,3,21,13,3,2,40,1,2
10,1,16,5,6,3,3,1,40,1,1
34,1,19,5,18,1,5,2,40,1,1
37,1,16,1,5,1,5,1,60,1,2
46,2,19,1,16,1,5,2,20,3,1
49,1,16,5,23,1,5,2,36,1,1
39,1,19,1,23,1,5,1,42,1,2
16,1,21,1,23,1,5,1,42,1,2
7,1,19,5,23,18,5,1,30,1,1
17,1,18,4,18,1,5,2,25,1,1
11,1,21,5,16,1,5,2,40,1,1
19,1,18,5,23,1,4,2,15,1,1
35,2,22,1,7,1,5,2,40,1,2
38,1,16,1,5,1,5,1,50,1,2
38,1,16,3,20,1,5,1,40,1,1
36,7,21,3,23,1,5,2,40,1,2
23,1,11,1,11,2,5,2,32,3,1
22,1,21,1,8,2,5,1,40,1,2
38,1,16,1,19,7,5,2,40,5,1
41,1,19,1,19,2,5,1,36,1,1
8,2,21,5,7,3,5,2,40,1,1
8,1,17,5,22,3,5,1,40,1,1
29,7,21,1,5,2,5,1,32,1,1
25,2,22,5,1,3,5,2,40,1,1
35,1,16,5,25,1,5,1,40,1,1
37,1,16,1,20,2,5,2,40,1,1
7,1,18,5,5,3,4,1,40,1,1
13,2,11,5,19,1,3,2,15,1,1
36,4,21,1,16,1,5,2,40,1,2
28,1,19,1,16,2,5,1,45,1,2
23,1,17,1,23,2,5,2,35,1,1
11,7,18,5,23,3,2,1,40,1,1
24,1,19,1,8,1,5,1,40,1,1
31,1,16,3,3,14,5,1,60,1,2
3,2,19,5,9,3,5,2,40,1,1
49,1,24,1,14,2,5,1,40,1,2
59,1,20,1,11,2,5,2,7,5,1
26,4,21,1,21,2,5,1,40,1,2
26,1,16,1,12,2,5,2,48,1,2
28,2,21,1,14,1,5,2,40,1,2
37,1,19,1,25,1,5,1,45,1,2
21,1,16,1,18,1,5,2,32,1,1
4,1,17,1,18,11,5,2,20,1,1
7,1,21,5,7,3,5,1,40,1,1
32,1,16,3,23,5,5,2,40,1,1
20,1,21,1,15,2,5,1,35,1,2
2,1,18,5,21,3,5,1,6,3,1
30,1,22,1,8,2,4,2,10,3,1
5,4,19,5,8,13,4,1,15,1,1
39,1,19,1,23,2,5,2,50,1,1
43,1,18,4,18,1,3,2,40,1,2
4,2,18,5,4,1,5,1,50,1,1
35,1,18,1,15,2,5,2,90,1,1
10,1,19,1,5,1,5,1,35,5,1
5,1,19,5,12,3,5,1,35,1,1
22,1,20,1,19,1,5,1,40,1,1
29,2,21,1,16,2,5,1,42,1,2
39,1,19,1,16,1,5,1,52,5,2
49,1,17,1,19,9,5,2,40,1,1
66,1,20,1,23,1,5,1,12,1,1
3,1,17,5,6,17,5,1,40,1,1
9,1,16,5,23,13,5,2,40,1,1
18,1,21,1,18,2,5,2,45,1,2
24,4,21,1,20,1,5,2,84,3,1
36,1,22,1,7,2,5,2,40,1,1
11,1,16,3,19,14,5,2,40,1,1
27,1,19,1,18,2,5,2,24,1,1
38,1,16,1,5,1,5,1,40,1,2
17,1,21,5,16,1,2,2,45,2,2
37,1,21,1,8,1,5,1,50,3,2
33,1,18,5,18,3,5,2,34,1,1
22,1,9,5,2,14,4,1,40,3,1
11,5,19,3,15,18,3,2,40,1,1
13,1,19,5,5,17,5,1,40,1,1
22,7,16,1,20,2,5,2,30,1,1
31,2,16,1,7,2,5,2,80,1,1
23,4,19,1,7,2,5,1,43,1,2
4,1,19,5,14,18,5,2,40,1,1
7,1,20,1,22,2,5,1,41,1,1
11,1,21,5,1,3,5,1,35,1,1
13,1,20,5,18,3,5,2,40,1,1
32,1,19,1,13,2,5,2,40,1,1
39,3,19,1,21,1,5,1,40,1,1
25,1,20,1,8,2,5,1,40,1,1
25,1,20,1,15,1,5,2,34,1,2
41,4,16,1,2,1,5,1,40,1,1
31,1,18,3,22,3,3,1,40,1,1
54,1,18,1,9,2,5,1,25,1,1
18,1,16,5,25,1,5,1,40,1,1
12,1,21,5,6,1,3,2,30,1,1
33,1,20,1,15,1,5,2,40,1,1
52,4,24,1,14,1,3,1,40,6,2
30,5,20,1,18,1,3,1,40,1,2
6,1,18,5,25,11,3,1,40,3,1
59,7,20,1,16,1,5,1,40,1,1
39,1,22,1,16,1,5,1,50,3,2
14,1,15,5,22,5,5,1,40,1,1
13,1,21,5,12,1,5,1,45,1,1
38,1,22,3,15,1,5,2,40,1,2
14,1,18,5,23,13,5,1,40,1,1
2,1,18,5,23,3,5,1,20,1,1
28,1,18,5,13,3,5,2,40,1,1
18,7,16,5,23,1,2,2,40,1,1
46,1,21,1,18,1,5,1,40,1,1
39,1,19,1,25,2,5,2,50,1,2
6,1,20,1,6,1,5,2,40,1,1
18,1,19,1,18,1,5,1,40,1,1
31,1,16,1,23,2,3,1,60,1,2
7,1,16,5,6,13,5,1,16,1,1
39,1,18,3,16,1,5,1,40,1,1
44,1,21,1,23,2,5,2,12,1,1
17,1,19,5,5,1,3,1,45,1,1
24,1,21,1,16,2,5,1,45,1,2
1,1,13,5,2,3,5,1,15,1,1
23,7,21,5,1,1,4,2,42,4,1
54,1,22,1,23,1,5,1,10,1,1
14,1,19,5,13,1,5,2,32,1,1
31,1,23,1,1,2,5,1,50,1,2
40,1,19,1,15,2,5,2,40,1,2
49,3,21,1,16,1,2,1,37,4,2
38,1,21,1,8,1,2,1,50,4,2
41,3,16,1,20,1,1,2,44,1,1
48,1,19,2,21,1,3,1,40,1,2
41,1,16,1,3,2,5,2,40,1,2
19,3,20,5,7,1,5,1,90,1,1
47,3,22,5,16,1,5,1,40,1,2
4,2,22,5,7,3,5,2,30,1,1
48,1,16,1,18,6,5,2,40,1,1
43,7,21,1,2,1,5,1,60,1,1
46,7,21,1,23,2,5,1,60,1,2
21,1,20,5,19,6,4,1,40,3,1
31,5,21,1,8,2,5,2,40,4,2
29,1,18,1,15,1,5,1,40,3,1
44,4,21,1,4,2,5,2,40,1,1
20,1,21,1,23,2,5,2,30,1,1
3,1,16,5,2,1,5,2,40,1,1
38,2,21,3,16,1,5,2,40,1,2
38,1,16,3,18,1,5,2,40,1,1
44,2,19,3,18,1,5,2,40,1,1
21,1,16,5,18,3,5,1,35,1,1
4,1,19,5,23,3,5,2,18,1,1
45,1,16,5,25,1,5,1,50,1,1
30,1,20,1,19,2,3,1,40,1,1
43,2,22,1,7,1,5,2,38,1,2
3,1,18,5,18,18,5,2,20,1,1
3,1,19,5,18,18,4,2,40,3,1
7,1,14,5,2,1,5,2,24,1,1
38,3,22,1,4,1,5,2,55,1,2
31,1,21,2,16,1,2,2,30,4,2
29,1,21,1,23,2,5,1,50,1,2
18,4,17,1,21,1,5,1,40,1,2
13,1,21,5,13,16,5,1,40,1,1
6,1,11,5,5,3,1,1,40,1,1
33,1,16,5,23,1,5,1,60,1,2
2,1,14,5,6,17,4,1,20,1,1
9,1,19,1,25,2,5,1,55,1,2
22,3,22,1,7,1,5,1,40,1,2
13,1,21,5,9,1,5,2,40,1,1
18,1,20,5,25,3,5,2,32,1,1
32,1,17,3,25,1,5,2,40,1,1
14,1,19,5,23,1,4,1,50,3,1
46,1,19,1,18,1,3,1,40,1,1
13,1,21,5,23,1,5,1,55,1,2
11,1,19,1,5,2,4,1,40,1,1
62,1,17,3,6,1,5,2,48,1,1
8,1,16,1,25,1,5,1,30,1,1
51,1,20,1,16,1,5,1,40,1,1
36,1,18,1,22,1,5,1,50,1,2
15,2,21,5,16,1,5,2,40,1,1
34,1,18,1,18,2,5,1,45,1,2
48,1,17,3,16,1,3,1,28,1,1
39,1,21,1,23,2,5,2,60,1,2
39,1,19,1,22,2,5,1,40,1,2
18,1,21,1,18,1,4,1,50,2,2
42,7,21,1,16,1,5,1,60,1,2
26,1,9,1,2,1,5,1,50,3,2
4,1,16,5,6,3,5,1,40,1,1
9,1,16,5,3,5,5,1,40,1,1
21,1,19,5,23,14,5,1,60,1,2
24,1,21,1,16,2,5,2,40,1,1
39,1,18,1,4,1,5,2,40,1,1
7,1,19,5,7,3,5,2,40,1,1
25,1,16,1,5,1,2,1,40,1,1
36,6,18,1,23,2,5,1,80,1,2
32,1,15,2,6,1,3,2,33,1,1
37,1,18,1,19,2,5,1,40,1,1
28,2,20,1,16,2,5,2,45,1,2
15,4,22,1,7,2,5,1,60,1,1
37,1,1,1,18,1,5,1,50,3,1
24,1,16,1,5,2,5,1,40,1,1
41,3,16,1,18,1,5,2,35,1,1
41,1,15,1,18,1,3,1,37,1,1
47,1,21,5,1,6,5,2,1,1,1
28,1,16,1,20,2,5,2,20,1,1
36,1,21,1,8,1,5,1,50,1,2
3,1,14,5,18,3,5,1,40,1,1
51,3,22,1,16,2,5,1,50,1,2
17,1,23,1,14,2,5,2,30,1,1
20,1,15,5,23,14,4,2,40,1,1
11,4,22,5,24,1,5,2,40,1,1
53,1,21,1,18,1,5,1,9,1,1
41,3,22,1,15,1,3,2,45,1,2
14,1,21,1,3,1,2,1,40,4,2
20,1,16,1,18,2,5,2,40,1,1
28,1,17,1,25,2,5,1,40,1,2
55,1,21,1,2,2,5,1,40,1,1
26,1,10,5,19,14,5,1,55,1,2
32,1,21,3,18,1,3,2,50,1,1
26,1,17,3,19,1,5,1,45,1,2
16,1,19,1,7,2,5,1,20,5,1
30,7,21,1,23,1,5,1,39,1,1
57,1,18,2,18,1,3,1,20,1,1
12,1,16,1,5,1,5,1,40,1,1
17,1,22,1,16,1,5,1,65,1,2
34,1,12,1,25,2,4,2,30,3,1
19,4,16,4,18,1,3,2,40,1,1
55,1,21,1,8,2,5,1,40,1,2
17,1,21,5,15,13,2,2,40,4,2
12,4,17,5,2,18,5,1,5,1,1
46,1,21,1,8,1,5,2,40,5,2
20,4,21,1,7,1,5,1,40,1,1
37,1,18,3,20,6,5,2,40,1,1
6,1,21,5,15,13,5,2,22,1,1
43,1,20,1,18,1,4,2,40,3,1
34,1,16,1,25,1,5,1,48,1,1
30,1,16,1,23,1,5,1,45,1,1
30,3,17,1,2,1,5,1,40,1,2
4,2,17,5,18,17,5,1,45,1,1
11,2,21,1,15,2,5,2,36,1,1
12,1,19,1,25,2,5,1,40,1,1
41,1,20,5,5,1,5,1,40,1,1
7,2,21,5,18,3,5,2,15,1,1
30,7,21,5,16,1,5,1,47,1,2
6,3,19,5,21,8,3,1,25,1,1
13,1,16,5,20,3,3,2,15,1,1
47,1,21,1,16,1,5,1,40,1,2
43,1,19,3,18,1,5,2,40,1,1
34,1,19,1,15,2,5,2,40,1,2
20,1,19,1,23,1,5,1,50,1,2
42,2,22,3,7,1,5,2,40,1,1
28,1,13,1,19,1,5,1,40,1,1
15,2,22,1,18,2,5,2,40,1,1
44,1,16,1,18,1,5,2,40,1,1
42,5,20,1,1,1,2,1,40,1,2
25,2,20,1,18,1,4,1,32,4,1
41,1,20,1,23,7,5,1,20,3,1
